rid,DATE,FROM,otype,c_infl,c_link,c_foreign,c_register,domestic,n_ann
687855,2026-01-12,vecernji.hr,Secular/other,1,1,1,institution,0,3
688531,2026-01-11,novilist.hr,Secular/other,1,1,1,institution,0,3
688717,2026-05-31,poslovni.hr,Business,0,0,0,none,0,3
689091,2026-05-31,makarskadanas.hr,Secular/other,1,0,0,none,0,3
689096,2026-05-31,Comprehensive-Tip-24 @ r/bih,Secular/other,1,0,0,none,0,3
689744,2026-06-02,lisinski.hr,Secular/other,1,0,0,none,0,3
689799,2026-06-02,vecernji.hr,Secular/other,1,0,0,none,0,3
690294,2026-06-03,hrportfolio.hr,Secular/other,1,0,0,none,0,3
690304,2026-06-03,novilist.hr,Secular/other,1,0,0,none,0,3
690331,2026-06-03,dnevnik.hr,Secular/other,1,0,0,none,0,3
690344,2026-06-03,24sata.hr,Secular/other,1,0,0,none,0,3
690352,2026-06-03,n1info.hr,Secular/other,1,0,0,none,0,3
690364,2026-06-03,hrt.hr,Secular/other,1,0,0,none,0,3
690372,2026-06-03,index.hr,Secular/other,1,0,0,none,0,3
690374,2026-06-03,tportal.hr,Secular/other,1,0,0,none,0,3
691342,2026-06-04,net.hr,Secular/other,1,0,0,none,0,3
691345,2026-06-04,dnevnik.hr,Secular/other,1,0,0,none,0,3
691480,2026-06-04,net.hr,Secular/other,1,0,0,none,0,3
691534,2026-06-04,sbperiskop.net,Secular/other,1,0,0,none,0,3
691893,2026-06-05,sjever.hr,Secular/other,1,0,0,none,0,3
691954,2026-06-05,net.hr,Secular/other,1,0,0,none,0,3
692688,2026-06-06,narod.hr,Secular/other,1,0,0,none,0,3
692898,2026-06-06,lupus_magnifica @ r/croatia,Secular/other,1,0,0,none,0,3
693340,2026-06-07,tportal.hr,Secular/other,1,0,0,none,0,3
693663,2026-06-08,hrt.hr,Secular/other,1,0,0,none,0,3
694303,2026-01-27,n1info.hr,Secular/other,1,0,1,none,0,3
694336,2026-01-27,hrt.hr,Secular/other,1,0,1,none,0,3
695424,2026-01-14,crovijesti.com,Secular/other,1,1,1,institution,0,3
695863,2026-01-14,jutarnji.hr,Secular/other,1,1,1,institution,0,3
695864,2026-01-14,jutarnji.hr,Secular/other,1,1,1,institution,0,3
695902,2026-01-13,poslovni.hr,Business,1,1,1,institution,0,3
695907,2026-01-13,crovijesti.com,Secular/other,1,1,1,institution,0,3
696770,2026-02-02,crovijesti.com,Secular/other,1,1,1,institution,0,3
697166,2026-02-03,crovijesti.com,Secular/other,1,0,0,none,0,3
697281,2026-02-03,dalmacijadanas.hr,Secular/other,1,0,0,none,0,3
697718,2026-02-03,"Dobro jutro, Hrvatska",Secular/other,1,0,0,none,0,3
698780,2026-01-16,JASKA online,Secular/other,1,0,0,none,0,3
698788,2026-01-16,novilist.hr,Secular/other,1,1,1,institution,0,3
698853,2026-01-16,tportal.hr,Secular/other,1,1,1,institution,0,3
698884,2026-01-16,jutarnji.hr,Secular/other,1,1,1,institution,0,3
698893,2026-01-16,24sata.hr,Secular/other,1,1,1,institution,0,3
698895,2026-01-16,glas-slavonije.hr,Secular/other,1,1,1,institution,0,3
698916,2026-01-16,glasistre.hr,Secular/other,1,1,1,institution,0,3
699132,2026-01-16,glasistre.hr,Secular/other,1,0,0,none,0,3
699331,2026-01-15,antenazadar.hr,Secular/other,1,0,0,none,0,3
699667,2026-01-15,jutarnji.hr,Secular/other,1,0,1,none,0,3
699668,2026-01-15,jutarnji.hr,Secular/other,1,0,1,none,0,3
699739,2026-02-12,autograf.hr,Secular/other,1,0,0,none,0,3
699813,2026-02-12,totalinfo.hr,Secular/other,1,0,1,none,0,3
703458,2026-02-19,slobodnadalmacija.hr,Secular/other,1,0,0,none,0,3
703752,2026-02-19,slobodnadalmacija.hr,Secular/other,1,0,0,none,0,3
703903,2026-01-18,dnevnik.hr,Secular/other,1,1,0,cost_relig_life,1,3
703909,2026-01-18,vecernji.hr,Secular/other,1,1,0,cost_relig_life,1,3
703927,2026-01-18,zagorje.com,Secular/other,1,0,0,none,0,3
704032,2026-01-18,dalmatinskiportal.hr,Secular/other,1,1,0,cost_relig_life,1,3
704144,2026-01-18,zagorje-international.hr,Secular/other,1,1,0,cost_relig_life,1,3
704153,2026-01-18,Novi list,Secular/other,1,1,0,cost_relig_life,1,3
704191,2026-01-18,novizivot.net,Catholic,1,1,0,cost_relig_life,1,3
704198,2026-01-18,Zagorje.com,Secular/other,1,1,0,cost_relig_life,1,3
