"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms"
"wages_income",9776,44,0.4501,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"poverty_social",31354,584,1.8626,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"macro_aggregates",1938,94,4.8504,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"euro_changeover",243,0,0,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"taxes_fiscal",14110,207,1.467,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"business_comp",13143,121,0.9206,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"green_energy",1559,202,12.957,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"housing",2627,1,0.0381,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"demography_econ",567,3,0.5291,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"inflation_prices",787,1,0.1271,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"unemployment",3335,30,0.8996,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"wages_income",9776,44,0.4501,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"poverty_social",31354,573,1.8275,"leave_out_opcija_za_siromasne","opcija_za_siromasne"
"macro_aggregates",1938,69,3.5604,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"euro_changeover",243,0,0,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"taxes_fiscal",14110,174,1.2332,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"business_comp",13143,94,0.7152,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"green_energy",1559,27,1.7319,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"housing",2627,1,0.0381,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"demography_econ",567,3,0.5291,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"inflation_prices",787,1,0.1271,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"unemployment",3335,27,0.8096,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"wages_income",9776,43,0.4399,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
"poverty_social",31354,449,1.432,"leave_out_ecology_markers","laudato_si laudate_deum integralna_ekologija"
